ID,medio,titulo_noticia,score_total
id_150,bbcl,Investigadora chilena liderará evaluación global de soluciones públicas medioambientales,0
id_151,bbcl,Perú firmó el Tratado de Alta Mar: la polémica sobre las 200 millas y la postura de Chile,7
id_152,bbcl,"Baguales, la cordillera olvidada frente a Torres del Paine",4
id_153,bbcl,SLEP Valparaíso: funcionario trabajó simultáneamente en el servicio y en el municipio de La Calera,2
id_154,bbcl,"La ONU advierte que la temperatura promedio de la Tierra podría superar el límite de 1,5° C al 2029",1
id_155,bbcl,"Pueblo suizo quedó destruido por desprendimiento de un glaciar, pero estaban preparados y nadie murió",0
id_157,bbcl,"Experto explica por qué el chinche del arce regresó en pleno otoño: ""Debería iniciar su hibernación""",-6
id_158,bbcl,Chile logra doble hito en Antártica: primera base científica permanente y con jefa en invierno,2
id_159,bbcl,"Qué es Sernafor, el nuevo organismo que reemplazará a Conaf con novedades en combate de incendios",-1
id_16,bbcl,Por orden de Trump: las organizaciones de la ONU de las que se retiró EEUU (y cómo reaccionó Guterres),3
id_160,bbcl,Causa y Efecto: ¿Estamos preparados para tornados? el caso de Puerto Varas abre una alerta nacional,4
id_161,bbcl,¿Podría producirse un tornado en Santiago? Qué dicen los expertos y la historia,-2
id_164,bbcl,Presidente Gabriel Boric viajará a Puerto Varas tras estragos generados por tornado,-2
id_167,bbcl,CChC expone 60 propuestas a candidatos presidenciales: busca promover inversión y acceso a viviendas,11
id_168,bbcl,Qué tan peligrosa es y cómo reconocer la Mosca de la Fruta: aumentaron en Chile en los últimos años,1
id_169,bbcl,"Presidente Boric defiende el ""multilateralismo, diálogo y libre comercio justo"" en foro China-Celac",0
id_17,bbcl,Informe REMA 2025 revela disminución del 23% en contaminación por material particulado en Chile,-1
id_171,bbcl,¿Qué piensa el Papa León XIV sobre...? La postura del sumo pontífice respecto de temas controversiales,-1
id_172,bbcl,Usach postula al sociólogo Cristian Parker al Premio Nacional de Humanidades y Ciencias Sociales 2025,3
id_173,bbcl,Día Mundial del Asma: la compleja enfermedad crónica en alza en Chile y los factores que la provocan,-1
id_175,bbcl,"Boric en Brasil: ""Tenemos que defender el multilateralismo como herramienta para enfrentar desafíos""",5
id_176,bbcl,"Alcalde de Pucón tras intensas precipitaciones en la zona: ""No son normales, fue demasiado""",-5
id_177,bbcl,"El cambio climático aumenta el arsénico en el arroz y podría volverse cancerígeno, según estudio",-2
id_178,bbcl,Boric podría asistir como invitado a cumbre del BRICS: expertos llaman a evaluar posibles efectos,1
id_179,bbcl,"Por sexta vez, Chile será el primer país de Latam en alcanzar el Sobregiro Ecológico: quedan 4 semanas",-3
id_18,bbcl,Firman convenio para acelerar implementación de infraestructuras de aguas lluvias para la RM,4
id_180,bbcl,Inauguran Feria Expomin 2025 con gran hito: es el primer evento carbono-neutral del sector minero,1
id_181,bbcl,"Congreso internacional, pabellón de innovación y más: Las actividades planeadas para Expomin 2025",6
id_182,bbcl,"¿Por qué la superficie del océano se está calentando 4,5 veces más rápido desde 2019?",-2
id_183,bbcl,"Cancillería expresa condolencias por fallecimiento de papa Francisco: ""Fue un líder internacional""",0
id_184,bbcl,Imagen de un niño palestino mutilado en Gaza es elegida Foto del Año del World Press Photo,0
id_186,bbcl,"Califican ""insuficiente"" el compromiso de Chile para mantener el calentamiento global en 1,5°C al 2035",3
id_188,bbcl,Cabras sobrevivieron casi 3 siglos sin agua dulce en isla de Brasil: estudian posible nueva raza,2
id_189,bbcl,Transforma el peligro en oportunidad: Descubren árbol que se beneficia de los rayos para sobrevivir,3
id_19,bbcl,Congreso Futuro 2026: ¿cuándo comienza y quiénes serán los expositores de este año?,10
id_191,bbcl,"Máximo Corvalán-Pincheira: ""Chile, la tensión entre memoria, olvido, supervivencia y desaparición""",0
id_193,bbcl,¿Por qué los millennials se ven más jóvenes que los veinteañeros de la Generación Z?,4
id_195,bbcl,"Presidente Boric defiende proyectos a largo plazo y critica el modo ""motosierra"" en reformas estatales",3
id_196,bbcl,BID en Chile: brazo financiero del organismo se propone duplicar sus inversores en Latinoamérica,5
id_198,emol,El estado del medio ambiente en Chile: Las olas de calor se incrementaron a más del doble en 60 años,0
id_2,bbcl,Investigadores chilenos desarrollan árboles nativos más resistentes para reforestar tras incendios,1
id_20,bbcl,"El abejorro más grande del mundo, nativo de Chile y Argentina, está luchando contra la extinción",-7
id_201,emol,Clima extremo en 2025: Las olas de calor fueron los eventos meteorológicos que más muertes causaron en el año,2
id_202,emol,Declaran Aculeo como Humedal Urbano: Revisa qué implica la medida para la laguna que se había secado en 2018,-6
id_204,emol,Problemas hepáticos y gastrointestinales o dermatitis: Los riesgos para la salud que tiene el agua del lago Vichuquén,0
id_206,emol,Suiza rechaza en referéndum un impuesto del 50% a las grandes fortunas para combatir el cambio climático,8
id_207,emol,"COP30: Estudio ubica a Chile, Colombia y Brasil como los líderes climáticos de Latinoamérica",2
id_208,emol,Entre la supervivencia y el éxodo climático: ¿Qué se juegan las islas del Pacífico en la COP30?,-3
id_209,emol,Desplazados por desastres climáticos: Estudio revela que hubo más de 67.000 diarios en la última década,-2
id_21,bbcl,Ante calor extremo: qué medidas deberías adoptar en tu trabajo para evitar un daño en la salud,-4
id_210,emol,Arranca la COP30 en la Amazonía brasileña: Lula llama a &quot;imponer una nueva derrota a los negacionistas&quot;,-2
id_211,emol,"COP30: Claves para entender qué es, quiénes participan y por qué es importante para el cambio climático",-2
id_212,emol,"Alza de temperatura mundial se modera en 2025, pero sigue cerca del umbral de 1,5°C",-1
id_215,emol,China experimenta un &quot;boom&quot; de juicios ambientales: Casos son impulsados por fiscales y no por activistas,6
id_216,emol,Chile reclasifica el estado de conservación del pingüino de Humboldt: Pasó de &quot;vulnerable&quot; a &quot;en peligro&quot;,-2
id_217,emol,El desarrollo de estructuras metaorgánicas concede el Nobel de Química: ¿Por qué son tan importantes?,-3
id_22,bbcl,Un millonario proyecto de amoníaco verde en Mejillones queda listo para su aprobación final,-2
id_220,emol,Trump critica a la ONU en Asamblea General y asegura que reconocer a Palestina es una &quot;recompensa&quot; para Hamás,-3
id_222,emol,Entre 6 y 18 millones de jóvenes latinoamericanos caerán en la pobreza para 2030 a causa del cambio climático,-2
id_223,emol,La propagación de información falsa ya es percibida como una las mayores amenazas globales,-5
id_224,emol,Científicos alertan que la Antártica está en fase crítica de cambios por el clima: &quot;Tendrá efectos para generaciones futuras&quot;,-2
id_225,emol,Declaran al Estero Reñaca en Viña del Mar como humedal urbano: Ya son 134 en el país,-3
id_227,emol,Retroceso de un glaciar deja al descubierto los restos de un británico que cayó en una grieta en la Antártica hace 66 años,-2
id_228,emol,Deshielo de un glaciar en Pakistán deja al descubierto el cuerpo de un hombre desaparecido hace 28 años: Estaba intacto,-2
id_23,bbcl,Con nueva estrategia: aumenta a más del doble los recursos para el combate de incendios forestales,2
id_231,emol,Expectación en La Haya: CIJ emitirá opinión consultiva sobre el cambio climático que fijará un marco jurídico mundial,-4
id_232,emol,Estudio advierte que el deshielo de los glaciares podría provocar erupciones volcánicas más explosivas a nivel mundial,0
id_233,emol,Desde Perú hasta la India: Patrimonios de la Unesco se encuentran en riesgo por sequías o inundaciones,2
id_234,emol,Se quedaron sin oxígeno: Ola de calor provoca la muerte de todos los peces de un gran lago en República Checa,2
id_237,emol,ONU advierte deterioro alimentario en Sudamérica y pone bajo vigilancia a dos países por riesgo de hambruna,-8
id_238,emol,El importante precedente establecido por un tribunal alemán pese a rechazar demanda ambiental de agricultor peruano,1
id_239,emol,Toyota defiendo los vehículos híbridos y asegura que los eléctricos “no son tan limpios”,-3
id_24,bbcl,Descubren que una sustancia presente en el chocolate amargo puede retrasar el envejecimiento biológico,-1
id_240,emol,Resiste mejor inundaciones y olas de calor: Científica chilena desarrolla un arroz capaz de adaptarse al cambio climático,-3
id_241,emol,El cambio climático acelera la resistencia a los antimicrobianos: Millones mueren anualmente a causa de ello,-2
id_243,emol,¿Por qué el blanqueo de corales afecta sobre el 83% de los arrecifes y cómo amenaza la vida marina?,-3
id_244,emol,Boric hace guiños a Xi Jinping y rechaza a &quot;los que quieren volver al proteccionismo&quot; en foro con líder chino,2
id_247,emol,"Cambio climático: Europa sufrió inundaciones históricas en 2024, su año más cálido desde que existe registro",-3
id_249,emol,Se esperan &quot;otoños más secos&quot; y nuevos eventos climáticos extremos como el viento Puelche en el sur de Chile,2
id_25,bbcl,"Economistas presentan plan para destrabar crecimiento y Hacienda ve oportunidad, pero también riesgos",-2
id_250,emol,Día Mundial de los Glaciares: Cuánta masa han perdido en las últimas décadas y cómo fueron las cifras de 2024,-6
id_251,emol,"Informe del Clima a nivel mundial en 2024: El año más caluroso registrado y el primero que supera el umbral de los 1,5°C",1
id_252,emol,Estudio de la Universidad de Chile advierte que el país podría perder la mitad de su nieve a fines del siglo XXI,-1
id_253,emol,Se decretó alerta de calor extremo para hoy: Se pronostican temperaturas en torno a los 34°C para la zona central,1
id_260,emol,"¿Cambio climático, guerra mundial, caída del comercio?: Expertos proyectan cómo será el mundo en 2035",-1
id_261,emol,Los glaciares han perdido aproximadamente un 5% de su volumen total: ¿Cómo afecta su deshielo?,1
id_264,emol,Tribunal Ambiental confirma millonaria sanción a empresa por escape de salmones en 2018,2
id_268,emol,Detienen a dos activistas de Just Stop Oil tras interrumpir una obra de teatro en Londres: Participaba Sigourney Weaver,-2
id_269,emol,Festival de Viña anuncia plan de sostenibilidad: Gala será con &quot;canje&quot; de entrada a $3.000 para reforestación de árboles,-1
id_27,bbcl,Reportan la muerte de miles de pingüinos en Sudáfrica por inanición: se quedaron sin alimento,-10
id_270,emol,Nuevamente sin Marcel: Inicia el foro de Davos marcado por &quot;la mayor incertidumbre en una generación&quot;,4
id_273,emol,Identifican restos de un alpinista 60 años después de que cayera en una grieta en un glaciar en Austria,-4
id_275,emol,Base Amundsen-Scott: La historia del pilar de la investigación científica en el Polo Sur al que llegó el Presidente,2
id_277,emol,Ola de calor: El desigual impacto en la RM y las medidas de las municipalidades para intentar mitigarlo,6
id_278,emol,ONU advierte que el 77% de la superficie global se ha vuelto más seca: &quot;Este cambio está redefiniendo la vida en la Tierra&quot;,1
id_279,emol,StartupLabs: Anuncian la creación de una nueva red de innovación que busca transformar el emprendimiento en Chile,2
id_28,bbcl,"Diputada argentina quiere cobrar impuesto a las vacas por emitir gases: ""Tasa sobre el metano""",-1
id_281,emol,COP29 entra en su etapa decisiva: ONU llama a &quot;dejar el teatro&quot; en las negociaciones climáticas,-2
id_282,emol,En U20: Boric llama a combatir el cambio climático apuntando a liderazgos mundiales que &quot;niegan o minimizan&quot; la crisis,-1
id_284,emol,¿Quién debería pagar la &quot;factura climática&quot;? Qué es lo que quiere cada país en las discusiones de la COP29,-2
id_286,emol,Cuenta regresiva para la COP29: Conoce diez hitos de la lucha contra el cambio climático en el planeta,2
id_287,emol,ONU Hábitat: Más de 500 millones de personas estarán expuestas a inundaciones fluviales en ciudades para 2030,1
id_288,emol,"Aumentan problemas de salud vinculados al cambio climático: &quot;Si no actuamos ahora, el futuro se anuncia muy peligroso&quot;",-2
id_289,emol,&quot;El momento crítico para el clima ha llegado&quot;: Los mensajes y cifras que levantó el último informe de emisiones de la ONU,-3
id_29,bbcl,Al menos 9 perros habrían muerto por beber su agua: seremi y la compleja situación del lago Vichuquén,-4
id_290,emol,Qué es la financiación climática y por qué será uno de los temas clave a discutir en la próxima COP29,-3
id_292,emol,Tormentas en transformación: La influencia del calentamiento global en la rápida intensificación de los ciclones,-5
id_294,emol,Sudamérica al rojo: Los factores que han influido en los más de 400 mil incendios que han devastado la región en 2024,-1
id_295,emol,Niños nacidos desde 2020 enfrentarán más eventos climáticos extremos que cualquier generación anterior,-4
id_296,emol,De Colombia a Corea del Sur: Las últimas conferencias medioambientales de 2024 donde se espera un esfuerzo global,-3
id_297,emol,Convocatoria entregará 300 becas para un diplomado de Especialización en Reducción de Emisiones GEI,4
id_298,emol,Los países más amenazados por el calentamiento global: Podrían incluso quedar inhabitables este siglo,-2
id_299,emol,Cuáles son los 50 lugares considerados patrimonio mundial de la Unesco que corren mayor riesgo por la crisis climática,-4
id_3,bbcl,Estudio chileno descubrió cómo las plantas deciden entre crecer o resistir la sequía,6
id_30,bbcl,"EEUU saca a Sudáfrica del G20 de 2026 y lo acusa de ""sabotaje"" durante última cumbre en Johannesburgo",-2
id_300,emol,Un 2024 desafiante para los termómetros se encamina a ser el año más cálido jamás registrado,1
id_304,emol,Hallan momificado el cuerpo de un estadounidense que desapareció hace 22 años en una montaña en Perú,-2
id_305,emol,Estudio confirma que pintar casas y edificios completamente de blanco contribuye a combatir el calor en las ciudades,3
id_307,emol,Encuesta global por crisis climática: El 56% piensa regularmente sobre el tema y el 80% quiere medidas más enérgicas,1
id_308,emol,Ministra de OO.PP. anuncia mesa de trabajo por reciente socavón y no descarta más evacuaciones,2
id_309,emol,"Torrenciales lluvias frenan producción de Audi en Alemania, culpan al cambio climático",-2
id_31,bbcl,"Con inasistencia y denuncia de ""boicot"" de Trump, inicia una compleja cumbre del G20 en Sudáfrica",-2
id_310,emol,Día Mundial del Medio Ambiente: La salud de los ecosistemas chilenos y el impacto humano en 12 cifras claves,2
id_312,emol,Encuentro promoverá la sostenibilidad y el uso de la tecnología para enfrentar el cambio climático,1
id_314,emol,Corfo llama a las pymes a unirse al Programa Nacional &quot;Transforma Cambio Climático&quot;,1
id_315,emol,¿Qué pudo haber pasado en el vuelo de Singapore Airlines y qué tan frecuentes son las muertes por turbulencias?,-1
id_316,emol,Los desafíos aéreos que implican las turbulencias: ¿Puede un piloto evitarlas? ¿El cambio climático las intensifica?,0
id_317,emol,Encuentro ACI reunirá a expertos y premiará emprendedores con soluciones innovadoras frente al cambio climático,1
id_319,emol,El mundo lleva once meses de temperaturas anormalmente cálidas y océanos baten récords diarios desde hace un año,2
id_32,bbcl,Nuevo embajador de EE.UU en Chile asume con críticas a Boric y confirma permanencia de Visa Waiver,-3
id_322,emol,Cinco estrategias que pueden implementar las industrias para mitigar los gases de efecto invernadero,-5
id_323,emol,Trabajadores y crisis climática: Más del 70% de la fuerza laboral mundial está expuesta al calor excesivo,-2
id_324,emol,Wine Innova Tech 2024 convoca a startups y proveedores del vino para fomentar la innovación y atender el cambio climático,4
id_325,emol,Jóvenes chilenos y la crisis climática: Ven efectos negativos en su calidad de vida e influye en quienes no quieren tener hijos,2
id_326,emol,En qué consiste la siembra de nubes y lo que dicen los expertos sobre su papel en el temporal vivido en Dubái,-1
id_327,emol,Fallo histórico de responsabilidad climática: ¿Qué implica la decisión del Tribunal Europeo de DD.HH.?,-3
id_328,emol,"Deforestación mundial se redujo un 9% en 2023: Superficie afectada equivale a 2,4 veces la RM",-1
id_329,emol,&quot;Boom&quot; del aceite de oliva chileno: ¿Cuáles son las marcas que más venden y los mercados que acaparan el producto nacional?,5
id_33,bbcl,Codelco firma alianza con Meteochile para fortalecer gestión climática y operacional en la minería,3
id_331,emol,Día Mundial del Agua: Conoce las estrategias para cuidar y preservar este vital elemento,3
id_332,emol,Premio Nobel de Economía Robert F. Engle en Chile: &quot;Cualquier tipo de transición energética va a requerir mayores precios&quot;,3
id_333,emol,Ola de calor golpea a Sudán del Sur: Muerte de 15 niños obliga a cerrar las escuelas,-6
id_334,emol,Llega el 5G a la Antártica: Chile abre primera conexión mundial a quinta generación de red en la zona,-3
id_336,emol,Informe de la ONU asegura que Chile prioriza el uso industrial del agua sobre el acceso personal y pide indemnizaciones,1
id_337,emol,BIGinBIO 2024: Pronto abrirá postulaciones para emprendimientos en etapa temprana con origen en Latam,-6
id_34,bbcl,"El ""etiquetado de género"" que el actual Gobierno le dejaría al próximo presidente en Presupuesto 2026",-3
id_340,emol,Dan a conocer a los ganadores del &quot;Premio ACME Chile para el Cambio Climático&quot;,4
id_342,emol,Estudio asegura que ni el fenómeno de El Niño ni el cambio climático fueron determinantes en los incendios de Valparaíso,0
id_344,emol,Informe ONU revela que el 41% de las especies migratorias está disminuyendo y alerta por falta de protección en salar chileno,-4
id_346,emol,El calor provocó más de 5.000 muertos en Francia durante el verano de 2023,1
id_348,emol,Fuerte tormenta impacta a California y provoca inundaciones y cortes de energía: Autoridades decretan estado de emergencia,1
id_349,emol,"Corfo adjudica 18 proyectos regionales en iniciativas de hidrógeno verde, gestión hídrica y cambio climático",12
id_35,bbcl,"Bachelet por candidatos que niegan cambio climático: ""No sé si están ciegos o no ven las noticias""",1
id_350,emol,Las tres prioridades económicas que marcarían la agenda de Donald Trump si vuelve a ser presidente de EE.UU.,-4
id_351,emol,A 90 segundos de la medianoche: El &quot;Reloj del Juicio Final&quot; se mantiene con su peor indicador histórico,-5
id_352,emol,&quot;Tarifa de cambio climático&quot;: Expertos entran al debate por castigo al sobreconsumo de agua que planea el Gobierno,3
id_355,emol,"Crítica al feminismo, al cambio climático y otras frases destacadas del primer discurso internacional de Milei en Davos",1
id_356,emol,2023 se convirtió en el año más caluroso de la historia después de batir récord de temperatura,1
id_357,emol,"Más alcohol, distinto sabor, otro color: Cómo el cambio climático está afectando a los vinos",-5
id_36,bbcl,"Bachelet descarta estar aún en campaña para la ONU: ""Los viajes que hago son por compromisos previos""",2
id_361,emol,&quot;Cambio Climático en Cifras&quot;: Así es el libro ilustrado que presentará este lunes una comitiva nacional en la COP28,-4
id_365,emol,Rey Carlos III es acusado de &quot;hipocresía&quot; por su huella de carbono: &quot;Juega al ambientalismo&quot;,-2
id_368,emol,COP28 comienza en Dubai con &quot;histórico&quot; lanzamiento de un fondo de pérdidas y daños climáticos,-2
id_369,emol,"Hoy comienza la COP28 en Dubai: Qué es, qué se espera de ella y las fechas que han marcado las cumbres por el clima",1
id_37,bbcl,Tribunal Ambiental de Valdivia ordena paralizar faenas de proyecto de piscicultura en río San Pedro,-1
id_371,emol,Costa subraya la importancia de &quot;comprender las implicaciones macroeconómicas del cambio climático&quot;,1
id_372,emol,"El metano se toma la COP28: Qué efecto tienen las emisiones de este gas, las industrias que más inciden y posibles soluciones",-3
id_375,emol,Desigualdad climática: El 1% más rico del mundo emite tanto carbono como los dos tercios más pobres,-1
id_378,emol,Octubre fue el más caluroso desde que se tienen registros y 2023 podría ser el año con mayor temperatura de la historia,-1
id_379,emol,La gran amenaza sanitaria del cambio climático: Las olas de calor causan casi medio millón de muertes anuales,8
id_380,emol,Últimos días para postular al “Premio ACME Chile para el Cambio Climático”,1
id_385,emol,Consejo repone norma sobre cambio climático luego de que oposición aprobara enmienda de republicanos,4
id_386,emol,Competencia hace llamado a innovadores con soluciones sustentables para industria de productos del mar,3
id_387,emol,Ejecutivo calcula que gasto por emergencias en el año se acerca a los US$ 800 millones,-1
id_388,emol,Hielo marino de la Antártica registra su tamaño más pequeño al final de invierno,2
id_39,bbcl,"Bachelet en la COP30 de la ONU: ""Normalmente hablamos de números, pero debemos hablar de las personas""",1
id_395,emol,Ripamonti afirma que situación por socavones es &quot;dramática&quot; y que entre &quot;hoy mañana&quot; se emitirá la &quot;inhabitabilidad&quot; de edificios,-2
id_396,emol,Segundo socavón: MOP admite que no estaba preparados para recibir tanta agua e insiste que cambio climático influyó,-2
id_397,emol,"Construcción en dunas, cambio climático, lluvias: MOP explica causas de segundo socavón y cómo está el edificio Kandinsky",5
id_398,emol,"Cartí Sugdupu, la pequeña isla del Caribe cuyos habitantes están evacuando antes de que la trague el mar",-2
id_399,emol,Lluvias torrenciales causadas por fenómeno meteorológico DANA dejan un muerto y dos desaparecidos en España,2
id_4,bbcl,Para Bío Bío y Ñuble: Gobierno comunica donaciones por US&#36;750.000 de parte de la banca multilateral,-2
id_400,emol,Comisión de Derechos del Consejo rechaza enmienda sobre el cambio climático y aprueba el fin de contribuciones para primera vivienda,-3
id_403,emol,Concesionarias piden &quot;mayor resiliencia&quot; de infraestructura por lluvias: &quot;Hay obras tremendamente críticas&quot;,-2
id_404,emol,Ante la tendencia del aire acondicionado: Precios y alternativas frente a un verano récord,-1
id_407,emol,Olas de calor oceánicas y pérdida de hielo: Estudio ahonda en eventos extremos en la Antártica por crisis climática,-2
id_409,emol,Refugios fríos y cortinas de madera: Cómo prepararnos para un verano infernal tras las olas de calor en el hemisferio norte,2
id_41,bbcl,"""Ya no es razonable"": Banco Central admite que tasas hipotecarias no volverán a bajar a nivel de antes",-1
id_410,emol,Estudio: Olas de calor en Europa y Norteamérica no se habrían producido sin el cambio climático inducido por la humanidad,2
id_411,emol,Conoce la inédita estrategia de conservación de CMPC apuntando hacia un mundo más sostenible,4
id_412,emol,"Cómo se vive en Timbulsloko, la región de Indonesia que se hunde 20 centímetros al año y pronto quedará sumergida",-3
id_414,emol,Ola de calor azota a Europa: Advierten que se podría romper el récord de temperatura en los próximos días,2
id_415,emol,Renovables en Chile registran pérdidas por más de US$1.000 millones en 2022 y advierten freno a nuevos proyectos,-1
id_416,emol,Estudio revela que cambio climático está alterando el color del océano: &quot;Ver que está ocurriendo es aterrador&quot;,1
id_418,emol,&quot;En Montevideo abren las canillas y no sale agua&quot;: La frase de Alberto Fernández que molestó en Uruguay,-3
id_42,bbcl,Disturbios en la COP30 en Brasil: grupos indígenas irrumpieron en conferencia y enfrentaron a guardias,-8
id_422,emol,Cómo la industria aérea apunta a la meta &quot;cero emisiones&quot; para 2050 y la tecnología que incorporarían los futuros aviones,2
id_424,emol,OMS asegura que el cambio climático se está convirtiendo en &quot;el mayor desafío&quot; sanitario y nombra a una enviada especial,-3
id_427,emol,Informe climático: Europa se calienta al doble de ritmo que la media mundial y olas de calor causaron 16 mil fallecidos en 2022,2
id_43,bbcl,Alianza de Conaf y Colun impulsa restauración ecológica en Los Ríos con plantación de especies nativas,5
id_431,emol,Glaciares observados por Darwin en viaje por Tierra del Fuego aceleran su deshielo: Pierden unos 5 km cuadrados al año,-1
id_433,emol,Presidente Boric y otros seis jefes de Estado envían carta al G7 para que aceleren medidas que enfrenten el cambio climático,1
id_434,emol,Más de la mitad de los mayores lagos y embalses del mundo se están secando: Pierden 22 gigatoneladas de agua por año,-5
id_435,emol,Las temperaturas mundiales pueden llegar a niveles sin precedentes en los próximos cinco años,1
id_436,emol,Una ola de calor sin precedentes afecta al Sudeste Asiático: Revisa las altas temperaturas que han marcado país por país,-1
id_438,emol,Barómetro de la Transformación Ecológica ¿Qué piensan los chilenos sobre el cambio climático?,-1
id_439,emol,&quot;El futuro es incierto&quot;: Hielo antártico anota mínimos históricos en 2023 y acelera su erosión,-5
id_44,bbcl,"Cientos de delfines murieron casi hervidos en el Amazonas: ""Estaba tan caliente que no tenían refugio""",-2
id_444,emol,Anuncian a los ganadores del &quot;Primer Premio de Innovación para el Cambio Climático”,1
